Education,Age,Genre,Origine,Domestication,VaccinationDesAnimaux,MorsureDeChien,Deces,PropagationParLesChiens,Transmission,VaccinationPreventive,Campagne,VaccinationPersonnelle,ConnaissanceAvantLaVaccination,ConnaissanceApresLaVaccination,Signes,Enrage,Medecin,FamilierAtteint,Installations,VaccinationAbordable,PreferencePourLaVaccination,ID_Repondant
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,1,Respondent171
F,1,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,Respondent172
F,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,1,Respondent173
F,1,1,2,2,2,1,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,Respondent174
F,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,Respondent175
F,1,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,Respondent176
F,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,Respondent177
F,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,Respondent178
F,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,Respondent179
F,1,1,2,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,1,Respondent180
F,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,Respondent181
F,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,Respondent182
F,1,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,Respondent183
F,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,Respondent184
F,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,Respondent185
F,1,1,1,1,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,2,1,Respondent186
F,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,1,Respondent187
F,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,1,Respondent188
F,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,Respondent189
F,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,Respondent190
F,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,2,2,1,1,1,Respondent191
